idCategorie,link,title,img,originalLink
c2549,/do-choi-me-be/c2549,Đồ Chơi - Mẹ & Bé,https://salt.tikicdn.com/ts/category/13/64/43/226301adcc7660ffcf44a61bb6df99b7.png,https://tiki.vn/do-choi-me-be/c2549
ngon,/tikingon/ngon/c44792,NGON,https://salt.tikicdn.com/ts/category/1e/8c/08/d8b02f8a0d958c74539316e8cd437cbd.png,https://tiki.vn/tikingon/ngon/c44792
c1789,/dien-thoai-may-tinh-bang/c1789,Điện Thoại - Máy Tính Bảng,https://salt.tikicdn.com/ts/category/54/c0/ff/fe98a4afa2d3e5142dc8096addc4e40b.png,https://tiki.vn/dien-thoai-may-tinh-bang/c1789
c1520,/lam-dep-suc-khoe/c1520,Làm Đẹp - Sức Khỏe,https://salt.tikicdn.com/ts/category/73/0e/89/d7ca146de7198a6808580239e381a0c8.png,https://tiki.vn/lam-dep-suc-khoe/c1520
c1882,/dien-gia-dung/c1882,Điện Gia Dụng,https://salt.tikicdn.com/ts/category/61/d4/ea/e6ea3ffc1fcde3b6224d2bb691ea16a2.png,https://tiki.vn/dien-gia-dung/c1882
c931,/thoi-trang-nu/c931,Thời trang nữ,https://salt.tikicdn.com/ts/category/55/5b/80/48cbaafe144c25d5065786ecace86d38.png,https://tiki.vn/thoi-trang-nu/c931
c915,/thoi-trang-nam/c915,Thời trang nam,https://salt.tikicdn.com/ts/category/00/5d/97/384ca1a678c4ee93a0886a204f47645d.png,https://tiki.vn/thoi-trang-nam/c915
c1703,/giay-dep-nu/c1703,Giày - Dép nữ,https://salt.tikicdn.com/ts/category/cf/ed/e1/96216aae6dd0e2beeb5e91d301649d28.png,https://tiki.vn/giay-dep-nu/c1703
c976,/tui-vi-nu/c976,Túi thời trang nữ,https://salt.tikicdn.com/ts/category/31/a7/94/6524d2ecbec216816d91b6066452e3f2.png,https://tiki.vn/tui-vi-nu/c976
c1686,/giay-dep-nam/c1686,Giày - Dép nam,https://salt.tikicdn.com/ts/category/d6/7f/6c/5d53b60efb9448b6a1609c825c29fa40.png,https://tiki.vn/giay-dep-nam/c1686
