option_id,product_id,value_id,values_name
2,27307100,1,Cam
2,27307100,2,Hồng
2,27307100,3,Xanh trời
2,27307100,4,Vàng
2,27307100,5,Đen
2,27307100,6,Tím than
2,27307100,7,Xanh than
2,27307100,8,Ghi
2,27921873,1,Hồng đậm
2,27921873,2,Tím than
2,27921873,3,Đen
2,27921873,4,Hồng
2,27921873,5,Be
2,27921873,6,Tím
2,27921873,7,Vàng
2,27921873,8,Xanh trời
2,27921873,9,Đỏ đô
2,27921873,10,Xanh bạc hà
2,27921873,11,Xanh Biển.
2,27921873,12,Cam
2,27921873,13,Cam đất
2,27921873,14,Nâu
2,27921873,15,Xanh cổ vịt
2,27921873,16,Xanh vỏ đỗ
2,27921873,17,Xanh đá
2,27921873,18,Xanh dương
2,27921873,19,Xanh ngọc
2,27921873,20,Trắng/Xanh cổ vịt
2,23371806,1,Cam
2,23371806,2,Nâu
2,23371806,3,Tím than
2,23371806,4,Đen
2,23371806,5,Hồng
2,23371806,6,Xanh bạc hà
2,23371806,7,Xanh đậm
2,23371806,8,Xanh
2,32502418,1,Xanh than
2,32502418,2,Tím than
2,32502418,3,Cam
2,32502418,4,Hồng
2,32502418,5,Đỏ đô
2,32502418,6,Xanh Lá
2,32502418,7,ĐEN ĐẬM
2,27144590,1,Vàng
2,27144590,2,Ghi sáng
2,27144590,3,Cam
2,27144590,4,Xanh than
2,27144590,5,Đen
2,27144590,6,Navy
2,27144590,7,Hồng
2,32618202,1,Hồng
2,32618202,2,Xanh Lam
2,32618202,3,Navy
2,32618202,4,Đen
2,32894329,1,Be
2,32894329,2,Hồng
2,32894329,3,Đen
2,27436204,1,Rêu
2,27436204,2,Đen
2,27436204,3,Sữa
2,27505276,1,Be
2,27505276,2,Tím than
2,27505276,3,Đỏ đô
2,27505276,4,Hồng
2,27505276,5,Đen
2,27505276,6,Xanh bạc hà
2,27505276,7,Xanh vỏ đỗ
2,27505276,8,Xanh cổ vịt
2,27505276,9,Hồng cam
2,27505276,10,Xanh đá
2,27505276,11,Tím
2,27505276,12,Xanh dương
2,27505276,13,Cam đất
2,27505276,14,Xanh Biển.
2,27505276,15,Xanh ngọc
2,27505276,16,Nâu
2,27505276,17,Hồng đậm
2,27505276,18,Cam
2,32894330,1,Hồng
2,32894330,2,Be
2,32894330,3,Đen
2,32830699,1,Tím than
2,32830699,2,Trắng
2,32830699,3,Tím Than 1
2,32830697,1,Nâu sữa
2,32830697,2,Trắng kem
2,32830697,3,Đen
2,32830697,4,Navy
2,32830697,5,Tím
2,32493596,1,Đỏ đô
2,32493596,2,Hồng đỗ
2,32493596,3,Xanh Biển
2,32493596,4,Đen
2,32493596,5,Cam
2,32493596,6,Be
