option_id,product_id,value_id,values_name
1,27307100,1,S
1,27307100,2,M
1,27307100,3,L
1,27307100,4,XL
1,27921873,1,S
1,27921873,2,M
1,27921873,3,L
1,27921873,4,XL
1,23371806,1,S
1,23371806,2,M
1,23371806,3,L
1,23371806,4,XL
1,23371806,5,2XL
1,32502418,1,S
1,32502418,2,M
1,32502418,3,L
1,32502418,4,XL
1,27144590,1,S
1,27144590,2,M
1,27144590,3,L
1,27144590,4,XL
1,32618202,1,S
1,32618202,2,M
1,32618202,3,L
1,32618202,4,XL
1,32894329,1,S
1,32894329,2,M
1,32894329,3,L
1,27436204,1,S
1,27436204,2,M
1,27505276,1,S
1,27505276,2,M
1,27505276,3,L
1,27505276,4,XL
1,32894330,1,S
1,32894330,2,M
1,32894330,3,L
1,32894330,4,XL
1,32830699,1,S
1,32830699,2,M
1,32830699,3,L
1,32830699,4,XL
1,32830697,1,S
1,32830697,2,M
1,32830697,3,L
1,32830697,4,XL
1,32493596,1,S
1,32493596,2,M
1,32493596,3,L
1,32493596,4,XL
1,32486678,1,S
1,32486678,2,M
1,32486678,3,L
1,28089224,1,S
1,28089224,2,M
1,28089224,3,L
1,28048432,1,S
1,28048432,2,M
1,28048432,3,L
1,28048432,4,XL
1,27918188,1,S
1,27918188,2,M
1,27918188,3,L
1,27918188,4,XL
1,27918187,1,S
1,27918187,2,M
1,27918187,3,L
1,27918187,4,XL
1,23372384,1,S
1,23372384,2,M
1,23372384,3,L
1,23372384,4,XL
1,30390115,1,S
1,30390115,2,M
1,30390115,3,L
1,30390115,4,XL
1,30390115,5,2XL
1,30390115,6,3XL
1,29964651,1,S
1,29964651,2,M
1,29964651,3,L
1,29964651,4,XL
1,29964651,5,2XL
1,30247846,1,S
1,30247846,2,M
1,30247846,3,L
1,30648268,1,F
1,30668143,1,S
1,30668143,2,M
1,30339735,1,1
1,30339735,2,2
1,30335891,1,1
1,30335891,2,2
1,30335891,3,3
1,30335891,4,4
1,29888034,1,S
1,29888034,2,M
1,29888034,3,L
1,30338730,1,1
1,30338730,2,2
1,30339736,1,1
1,30339736,2,2
1,24980067,1,S
1,24980067,2,M
1,24980067,3,L
1,24980067,4,XL
1,24980067,5,2XL
1,24559892,1,S
1,24559892,2,M
1,24559892,3,L
1,24559892,4,XL
1,23600294,1,M
1,23600294,2,S
1,30384152,1,S
1,30384152,2,M
1,30384152,3,L
1,30384152,4,XL
1,30340186,1,S
1,30340186,2,M
1,30340186,3,L
1,30339941,1,F
1,30276968,1,Freesize
1,30174558,1,S
1,30174558,2,M
1,30174558,3,L
1,30174558,4,XL
1,30174556,1,S
1,30174556,2,M
1,30174556,3,L
1,30174547,1,F
1,29897010,1,XS
1,29897010,2,S
1,29897010,3,M
1,29896120,1,S
1,29896120,2,M
1,29896120,3,L
1,29896120,4,XL
1,29896118,1,S
1,29896118,2,M
1,29896118,3,L
1,25145258,1,S
1,25145258,2,M
1,25145258,3,L
1,24566485,1,S
1,24566485,2,M
1,24566485,3,L
1,24566485,4,XL
1,24566485,5,2XL
1,29505173,1,S
1,29505173,2,M
1,29505173,3,L
1,30442036,1,S
1,30442036,2,M
1,30442036,3,L
1,30442036,4,XL
1,30339737,1,XS
1,30339737,2,S
1,30339737,3,M
1,30339737,4,L
1,32493677,1,1
1,32493677,2,2
1,32482454,1,S
1,32482454,2,M
1,32482454,3,L
1,32202419,1,S
1,32202419,2,M
1,32202419,3,L
1,30339829,1,S
1,30339829,2,M
1,29857238,1,S
1,29857238,2,M
1,29857238,3,L
1,32830249,1,S
1,32830249,2,M
1,32830249,3,L
1,32486525,1,S
1,32486525,2,M
1,32486525,3,L
1,32486525,4,XL
1,32894320,1,S
1,32894320,2,M
1,32894320,3,L
1,32492437,1,S
1,32492437,2,M
1,32492437,3,L
1,32830701,1,S
1,32830701,2,M
1,32830701,3,L
1,30712196,1,S
1,30712196,2,M
1,30712196,3,L
1,30712196,4,XL
1,30388956,1,S
1,30388956,2,M
1,30388956,3,L
1,30388956,4,XL
1,30388956,5,2XL
1,30388951,1,S
1,30388951,2,M
1,30388951,3,L
1,30388951,4,XL
1,30388951,5,2XL
1,30709933,1,S
1,30709933,2,M
1,30709933,3,L
1,30709933,4,XL
1,30709933,5,2XL
1,27914257,1,S
1,27914257,2,M
1,27914257,3,L
1,27914257,4,XL
1,30386827,1,S
1,30386827,2,M
1,30386827,3,L
1,30388955,1,S
1,30388955,2,M
1,30388955,3,L
1,30388955,4,XL
1,30339872,1,S
1,30339872,2,M
1,29896510,1,S
1,29896510,2,M
1,29896510,3,L
1,29896510,4,XL
1,29896510,5,2XL
1,30174538,1,S
1,30174538,2,M
1,30174538,3,L
1,30174538,4,XL
1,30174538,5,2XL
1,30174552,1,S
1,30174552,2,M
1,29887721,1,S
1,29887721,2,M
1,29887721,3,L
1,29887721,4,XL
1,29887721,5,2XL
1,29504785,1,S
1,29504785,2,M
1,29504785,3,L
1,29504785,4,XL
1,29504785,5,2XL
1,29504791,1,S
1,29504791,2,M
1,29504791,3,L
1,29504791,4,XL
1,29504791,5,2XL
1,29896511,1,S
1,29896511,2,M
1,29896511,3,L
1,29896511,4,XL
1,29896511,5,2XL
1,29896218,1,S
1,29896218,2,M
1,29896218,3,L
1,29896218,4,XL
1,29896218,5,2XL
1,29844051,1,S
1,29844051,2,M
1,29844051,3,L
1,29844051,4,XL
1,29844051,5,2XL
1,29844053,1,S
1,29844053,2,M
1,29504787,1,S
1,29504787,2,M
1,29504787,3,L
1,29504787,4,XL
1,29504787,5,2XL
1,29505373,1,S
1,29505373,2,M
1,29505373,3,L
1,29505373,4,XL
1,29599354,1,S
1,29599354,2,M
1,29599354,3,L
1,29599354,4,XL
1,29888725,1,S
1,29888725,2,M
1,29888725,3,L
1,29888725,4,XL
1,29888725,5,2XL
1,24838179,1,S
1,24838179,2,M
1,24838179,3,L
1,24838179,4,XL
1,24838179,5,2XL
1,23371857,1,S
1,23371857,2,L
1,23371857,3,XS
1,23371857,4,M
1,23371857,5,XL
1,23371857,6,2XL
1,23371858,1,XS
1,23371858,2,S
1,23371858,3,M
1,23371858,4,L
1,23371858,5,XL
1,23600077,1,S
1,23600077,2,M
1,23600077,3,L
1,23600077,4,XL
1,29770462,1,S
1,29770462,2,M
1,29770462,3,L
1,29770462,4,XL
1,23371860,1,S
1,23371860,2,M
1,23371860,3,XL
1,23371860,4,2XL
1,23371860,5,L
1,23371860,6,3XL
1,29650053,1,S
1,29650053,2,M
1,29650053,3,L
1,29650053,4,XL
1,29650053,5,2XL
1,24897575,1,S
1,24897575,2,M
1,24897575,3,L
1,24897575,4,XL
1,24897575,5,2XL
1,27582799,1,S
1,27582799,2,M
1,27582799,3,L
1,27582799,4,XL
1,27582799,5,2XL
1,23371863,1,XS
1,23371863,2,S
1,23371863,3,M
1,23371863,4,L
1,23371863,5,XL
1,23371878,1,S
1,23371878,2,M
1,23371878,3,L
1,23371878,4,XL
1,23371878,5,2XL
1,23600076,1,S
1,23600076,2,M
1,23600076,3,L
1,23600076,4,XL
1,24046787,1,S
1,24046787,2,M
1,24046787,3,L
1,24046787,4,XL
1,24046787,5,2XL
1,24897385,1,S
1,24897385,2,M
1,24897385,3,L
1,24897385,4,XL
1,24897574,1,S
1,24897574,2,M
1,24897574,3,L
1,24897574,4,XL
1,24897574,5,2XL
1,24919759,1,S
1,24919759,2,M
1,24919759,3,L
1,24919759,4,XL
1,25157543,1,S
1,25157543,2,M
1,25157543,3,L
1,25157543,4,XL
1,25198428,1,S
1,25198428,2,M
1,25198428,3,L
1,25198428,4,XL
1,32874740,1,S
1,32874740,2,M
1,32874740,3,L
1,32874740,4,XL
1,32493676,1,S
1,32493676,2,M
1,32493676,3,L
1,32493676,4,XL
1,27393965,1,S
1,27393965,2,M
1,27393965,3,L
1,27393965,4,XL
1,27393965,5,2XL
1,27144586,1,25
1,27144586,2,26
1,27144586,3,27
1,27144586,4,28
1,27144586,5,29
1,27144586,6,30
1,27144586,7,31
1,27144586,8,32
1,27144586,9,33
1,30716570,1,25
1,30716570,2,26
1,30716570,3,27
1,30716570,4,28
1,30716570,5,29
1,30716570,6,30
1,23372413,1,25
1,23372413,2,26
1,23372413,3,27
1,23372413,4,28
1,23372413,5,29
1,23372413,6,30
1,24370220,1,25
1,24370220,2,26
1,24370220,3,27
1,24370220,4,28
1,24370220,5,29
1,24370220,6,30
1,24370220,7,31
1,24370220,8,32
1,24370220,9,33
1,30338732,1,25
1,30338732,2,26
1,30338732,3,27
1,30338732,4,28
1,30338732,5,29
1,30338732,6,30
1,27918177,1,25
1,27918177,2,26
1,27918177,3,27
1,27918177,4,28
1,27918177,5,29
1,27914260,1,25
1,27914260,2,26
1,27914260,3,27
1,27914260,4,28
1,27914260,5,29
1,27568304,1,25
1,27568304,2,26
1,27568304,3,27
1,27568304,4,28
1,27568304,5,29
1,27436262,1,25
1,27436262,2,26
1,27436262,3,27
1,27436262,4,28
1,27436262,5,29
1,27436205,1,26
1,27436205,2,27
1,27436205,3,28
1,27436205,4,29
1,27436205,5,30
1,27436205,6,31
1,27435529,1,25
1,27435529,2,26
1,27435529,3,27
1,27435529,4,28
1,27435529,5,29
1,27393180,1,25
1,27393180,2,26
1,27393180,3,27
1,27393180,4,28
1,27393180,5,29
1,27144588,1,25
1,27144588,2,26
1,27144588,3,27
1,27144588,4,28
1,27144588,5,29
1,24556139,1,25
1,24556139,2,26
1,24556139,3,27
1,24556139,4,28
1,24556139,5,29
1,23600265,1,25
1,23600265,2,26
1,23600265,3,27
1,23600265,4,28
1,23600265,5,29
1,23372420,1,25
1,23372420,2,26
1,23372420,3,27
1,23372420,4,28
1,23372419,1,25
1,23372419,2,26
1,23372419,3,27
1,23372419,4,28
1,23372419,5,29
1,23372419,6,30
1,23372417,1,25
1,23372417,2,26
1,23372417,3,27
1,23372417,4,28
1,23372417,5,29
1,23372414,1,25
1,23372414,2,26
1,23372414,3,27
1,23372414,4,28
1,23372414,5,29
1,32830110,1,25
1,32830110,2,26
1,32830110,3,27
1,32830110,4,28
1,32830110,5,29
1,32830110,6,30
1,28338884,1,S
1,28338884,2,M
1,28338884,3,L
1,23371923,1,S
1,23371923,2,M
1,23371923,3,L
1,23371923,4,XL
1,27445246,1,S
1,27445246,2,M
1,27445246,3,L
1,27436167,1,S
1,27436167,2,M
1,27436167,3,L
1,27435526,1,S
1,27435526,2,M
1,27435526,3,L
1,27195414,1,S
1,27195414,2,M
1,27195414,3,L
1,27138438,1,S
1,27138438,2,M
1,27138438,3,L
1,23371921,1,25
1,23371921,2,26
1,23371921,3,27
1,23371921,4,28
1,23371921,5,29
1,23371919,1,25
1,23371919,2,26
1,23371919,3,27
1,23371919,4,28
1,23371919,5,29
1,23371918,1,25
1,23371918,2,26
1,23371918,3,27
1,23371918,4,28
1,32479246,1,S
1,32479246,2,M
1,32479246,3,L
1,32502422,1,S
1,32502422,2,M
1,32502422,3,L
1,32502422,4,XL
1,32894323,1,S
1,32894323,2,M
1,32894323,3,L
1,32894323,4,XL
1,32980245,1,S
1,32980245,2,M
1,32980245,3,L
1,32980245,4,XL
1,27436174,1,S
1,27436174,2,M
1,27436174,3,L
1,27436174,4,XL
1,23808414,1,XS
1,23808414,2,S
1,23808414,3,M
1,23808414,4,L
1,23808414,5,XL
1,23600057,1,S
1,23600057,2,M
1,23600057,3,L
1,23600057,4,XS
1,23600057,5,XL
1,23600075,1,S
1,23600075,2,M
1,23600075,3,L
1,23600075,4,XL
1,23600075,5,2XL
1,27195400,1,S
1,27195400,2,M
1,27195400,3,L
1,27195400,4,XL
1,29752839,1,S
1,29752839,2,M
1,29752839,3,L
1,29752839,4,XL
1,27907510,1,S
1,27907510,2,M
1,27907510,3,L
1,27907510,4,XL
1,27907510,5,2XL
1,32502423,1,S
1,32502423,2,M
1,32502423,3,L
1,32502423,4,XL
1,32493683,1,S
1,32493683,2,M
1,32493683,3,L
1,32493683,4,XL
1,32486523,1,S
1,32486523,2,M
1,32486523,3,L
1,32486523,4,XL
1,31266214,1,S
1,31266214,2,M
1,31266214,3,L
1,31266214,4,XL
1,30712005,1,S
1,30712005,2,M
1,30712005,3,L
1,30712005,4,XL
1,29888724,1,S
1,29888724,2,M
1,29888724,3,L
1,29888724,4,XL
1,29655066,1,S
1,29655066,2,M
1,29655066,3,L
1,29655066,4,XL
1,26600127,1,S
1,26600127,2,M
1,26600127,3,L
1,26600127,4,XL
1,25925154,1,S
1,25925154,2,M
1,25925154,3,L
1,25925154,4,XL
1,23600059,1,XS
1,23600059,2,S
1,23600059,3,M
1,23600059,4,L
1,23600059,5,XL
1,23372400,1,XS
1,23372400,2,S
1,23372400,3,M
1,23372400,4,L
1,23372400,5,XL
1,23372400,6,2XL
1,23372396,1,XS
1,23372396,2,S
1,23372396,3,M
1,23372396,4,L
1,23372396,5,XL
1,27343782,1,S
